algorithm	benchmark	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
invokevirtual	axpy	31	d22s-d22-d2s-d2-d2s-d2	32.51614432258065	LENOVO.20ERCTO1WW	32.73847096774193	32.71835153679436	1048576	20170922-2300	6	256	0.05	6	259.649290279	33.318811846774196	214086.32199250092	14986
invokeinterface	axpy	21	d22s-d22-d2s-d2-d2s-d2	48.07893190476191	LENOVO.20ERCTO1WW	48.32555466666667	48.32931202287947	1048576	20170922-2314	6	256	0.05	6	259.815895825	48.521145011904764	214086.32199250092	6483
protocols	axpy	20	d22s-d22-d2s-d2-d2s-d2	50.737000587500006	LENOVO.20ERCTO1WW	51.27679785	51.22276527324219	1048576	20170922-2328	6	256	0.05	6	262.258568917	51.63705775	214086.32199250092	5561
instanceof	axpy	31	d22s-d22-d2s-d2-d2s-d2	33.38601748387097	LENOVO.20ERCTO1WW	33.514411548387095	33.536890836819566	1048576	20170922-2341	6	256	0.05	6	266.145721407	33.66106870161291	214086.32199250092	8999
instancefn	axpy	30	d22s-d22-d2s-d2-d2s-d2	33.78463131666667	LENOVO.20ERCTO1WW	33.9485151	33.94312007734375	1048576	20170922-2355	6	256	0.05	6	260.684544667	34.08515481666667	214086.32199250092	8471
defmulti	axpy	3	d22s-d22-d2s-d2-d2s-d2	353.68108	LENOVO.20ERCTO1WW	356.94246733333335	358.81198711067714	1048576	20170923-0009	6	256	0.05	6	275.567875599	364.7360036666667	214086.32199250092	913
hashmaps	axpy	11	d22s-d22-d2s-d2-d2s-d2	97.56585227272728	LENOVO.20ERCTO1WW	100.4951995909091	99.8484584683949	1048576	20170923-0023	6	256	0.05	6	281.192472908	102.339721	214086.32199250092	2929
signatures	axpy	14	d22s-d22-d2s-d2-d2s-d2	74.23537457142857	LENOVO.20ERCTO1WW	75.90587392857142	75.86402063364956	1048576	20170923-0038	6	256	0.05	6	271.902723207	77.33693964285713	214086.32199250092	4117
nohierarchy	axpy	19	d22s-d22-d2s-d2-d2s-d2	54.24579907894737	LENOVO.20ERCTO1WW	55.42487139473684	55.2863684350329	1048576	20170923-0051	6	256	0.05	6	268.904832796	56.10874253947369	214086.32199250092	5105
dynafun	axpy	27	d22s-d22-d2s-d2-d2s-d2	37.675670592592596	LENOVO.20ERCTO1WW	38.049115425925926	38.044084669704866	1048576	20170923-0105	6	256	0.05	6	262.958122974	38.28904962962963	214086.32199250092	7624
dynamap	axpy	20	d22s-d22-d2s-d2-d2s-d2	51.233119200000004	LENOVO.20ERCTO1WW	52.117969525	52.125076479101565	1048576	20170923-0118	6	256	0.05	6	266.89000032	52.7719639	214086.32199250092	5449
