algorithm	benchmark	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
invokeinterface	contains	26	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	39.058406653846156	LENOVO.20ERCTO1WW	39.15059865384615	39.17162726517428	1048576	20170923-0910	6	256	0.05	6	260.727560326	39.273605461538466	2095026.0	7651
protocols	contains	7	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	152.32658957142854	LENOVO.20ERCTO1WW	153.72065414285714	153.3297877779018	1048576	20170923-0923	6	256	0.05	6	274.769852587	154.23663957142858	2095026.0	2161
instanceof	contains	30	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	34.29815696666667	LENOVO.20ERCTO1WW	34.431687833333335	34.400211565885414	1048576	20170923-0936	6	256	0.05	6	264.193787105	34.4963564	2087215.0	9085
instancefn	contains	29	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	34.85081131034483	LENOVO.20ERCTO1WW	35.0117575862069	34.99113811637931	1048576	20170923-0948	6	256	0.05	6	259.774606134	35.115098206896555	2095026.0	8647
defmulti	contains	2	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	569.2305062500001	LENOVO.20ERCTO1WW	582.5798875	577.5976061425781	1048576	20170923-1002	6	256	0.05	6	295.73459256	584.9502585	2095026.0	565
hashmaps	contains	9	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	114.26576844444446	LENOVO.20ERCTO1WW	118.77413261111111	117.45883469487849	1048576	20170923-1014	6	256	0.05	6	270.62411108	120.52342586111112	2095026.0	2629
signatures	contains	11	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	91.66783097727273	LENOVO.20ERCTO1WW	93.21852590909091	93.13462598544034	1048576	20170923-1027	6	256	0.05	6	262.263843695	94.46583822727273	2095026.0	3421
nohierarchy	contains	12	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	90.46571591666668	LENOVO.20ERCTO1WW	91.743832	91.9881211904297	1048576	20170923-1040	6	256	0.05	6	282.586273891	93.38516941666667	2095026.0	3281
dynafun	contains	19	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	54.26574565789474	LENOVO.20ERCTO1WW	54.81979344736842	54.83098440871711	1048576	20170923-1053	6	256	0.05	6	266.697012885	55.57401285526316	2095026.0	5575
dynamap	contains	19	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	53.7219422763158	LENOVO.20ERCTO1WW	54.17763410526316	54.49202220929277	1048576	20170923-1105	6	256	0.05	6	265.054530459	55.16743178947369	2095026.0	4921
