algorithm	benchmark	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
invokevirtual	axpy	33	d22s-d22-d2s-d2-d2s-d2	30.699133151515156	LENOVO.20ERCTO1WW	30.77912343939394	31.247204876969704	1048576	20171019-1355	6	50	0.05	6	51.50211434	32.51720520909091	214086.32199250092	4816
invokeinterface	axpy	22	d22s-d22-d2s-d2-d2s-d2	45.208664818181816	LENOVO.20ERCTO1WW	45.29757027272727	45.391318886363635	1048576	20171019-1402	6	50	0.05	6	49.931874822	45.59962914090909	214086.32199250092	3326
protocols	axpy	23	d22s-d22-d2s-d2-d2s-d2	44.916741739130444	LENOVO.20ERCTO1WW	44.976730347826084	45.01128572173914	1048576	20171019-1409	6	50	0.05	6	51.763494595	45.12248034782609	214086.32199250092	3356
instanceof	axpy	34	d22s-d22-d2s-d2-d2s-d2	30.214978970588234	LENOVO.20ERCTO1WW	30.257474029411764	30.249380015882352	1048576	20171019-1414	6	50	0.05	6	51.423729043	30.27942407647059	214086.32199250092	4729
instancefn	axpy	34	d22s-d22-d2s-d2-d2s-d2	30.234295852941177	LENOVO.20ERCTO1WW	30.25089917647059	30.279504089999996	1048576	20171019-1420	6	50	0.05	6	51.474644585	30.316255439705884	214086.32199250092	4729
defmulti	axpy	2	d22s-d22-d2s-d2-d2s-d2	574.1039555	LENOVO.20ERCTO1WW	582.57073425	583.22261884	1048576	20171019-1426	6	50	0.05	6	58.32734213	591.4294629249999	214086.32199250092	277
hashmaps	axpy	11	d22s-d22-d2s-d2-d2s-d2	93.977435	LENOVO.20ERCTO1WW	97.4025035	97.30954525454545	1048576	20171019-1432	6	50	0.05	6	53.515649909	99.88199834090909	214086.32199250092	1972
signatures	axpy	12	d22s-d22-d2s-d2-d2s-d2	90.48229966666668	LENOVO.20ERCTO1WW	92.52647025	92.170046255	1048576	20171019-1440	6	50	0.05	6	55.30344414	93.77614907500002	214086.32199250092	1857
nohierarchy	axpy	14	d22s-d22-d2s-d2-d2s-d2	70.73818607142857	LENOVO.20ERCTO1WW	73.34774192857142	72.44109209	1048576	20171019-1447	6	50	0.05	6	50.712584042	74.12893643571428	214086.32199250092	2329
dynafun	axpy	33	d22s-d22-d2s-d2-d2s-d2	30.59868248484849	LENOVO.20ERCTO1WW	30.659621454545455	30.641705429696973	1048576	20171019-1453	6	50	0.05	6	50.558898925	30.687290684848488	214086.32199250092	4837
dynamap	axpy	16	d22s-d22-d2s-d2-d2s-d2	62.4394329375	LENOVO.20ERCTO1WW	62.89027053125	63.3970022625	1048576	20171019-1458	6	50	0.05	6	50.715931251	64.18564803125	214086.32199250092	2269
