algorithm	benchmark	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
invokeinterface	axpy	10	linearfunctions-m22-vectors-v2-vectors-v2	101.0031319	LENOVO.20ERCTO1WW	102.07958995	101.893271514	1048576	20171019-1506	6	50	0.05	6	50.947551446	102.721595455	214037.0690506851	2017
protocols	axpy	4	linearfunctions-m22-vectors-v2-vectors-v2	248.70412850000002	LENOVO.20ERCTO1WW	250.38016225	250.04667134500002	1048576	20171019-1511	6	50	0.05	6	50.00884014	251.621420075	214037.0690506851	576
instanceof	axpy	10	linearfunctions-m22-vectors-v2-vectors-v2	103.39017108499999	LENOVO.20ERCTO1WW	104.55356315	104.282430104	1048576	20171019-1518	6	50	0.05	6	52.144649534	105.12064872000002	214037.0690506851	1471
instancefn	axpy	10	linearfunctions-m22-vectors-v2-vectors-v2	104.7061604	LENOVO.20ERCTO1WW	105.8519972	105.66001542800001	1048576	20171019-1524	6	50	0.05	6	52.830735603	106.67018868000001	214037.0690506851	1316
defmulti	axpy	2	linearfunctions-m22-vectors-v2-vectors-v2	647.956842	LENOVO.20ERCTO1WW	656.56921625	655.68681529	1048576	20171019-1530	6	50	0.05	6	65.571648867	663.4867767250001	214037.07288064115	247
hashmaps	axpy	5	linearfunctions-m22-vectors-v2-vectors-v2	229.79576040000003	LENOVO.20ERCTO1WW	238.9166521	241.60261236399998	1048576	20171019-1537	6	50	0.05	6	60.404777537	258.5632264	214037.07288064115	606
signatures	axpy	5	linearfunctions-m22-vectors-v2-vectors-v2	204.4934106	LENOVO.20ERCTO1WW	212.2249739	210.11584489600003	1048576	20171019-1543	6	50	0.05	6	52.522321994	214.27078177	214037.07288064115	745
nohierarchy	axpy	6	linearfunctions-m22-vectors-v2-vectors-v2	185.48125683333336	LENOVO.20ERCTO1WW	186.71163075	187.84595490000004	1048576	20171019-1549	6	50	0.05	6	56.354865535	190.21966583333335	214037.07288064115	736
dynafun	axpy	6	linearfunctions-m22-vectors-v2-vectors-v2	179.00400833333336	LENOVO.20ERCTO1WW	180.88389391666666	181.0260577966667	1048576	20171019-1555	6	50	0.05	6	54.305895151	183.00153377500004	214037.07288064115	761
dynamap	axpy	6	linearfunctions-m22-vectors-v2-vectors-v2	178.67750500000002	LENOVO.20ERCTO1WW	180.77452266666666	181.00660617333332	1048576	20171019-1602	6	50	0.05	6	54.297148487	183.28629732500005	214037.07288064115	859
