algorithm	benchmark	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
invokestatic	contains	84	IntegerIntervals-integer_interval-IntegerArray-uniformInteger	11.941255202380953	LENOVO.20ERCTO1WW	11.981271482142857	11.960505218809525	1048576	20171019-1719	6	50	0.05	6	50.233854246	11.976159770238098	2066682.0	11817
invokevirtual	contains	85	IntegerIntervals-integer_interval-IntegerArray-uniformInteger	11.808406423529414	LENOVO.20ERCTO1WW	11.8279164	11.864984263058824	1048576	20171019-1723	6	50	0.05	6	50.422585258	11.88370525529412	2097889.0	12209
invokeinterface	contains	85	IntegerIntervals-integer_interval-IntegerArray-uniformInteger	11.882563611764708	LENOVO.20ERCTO1WW	11.908905823529413	11.945058406117647	1048576	20171019-1727	6	50	0.05	6	50.761779729	11.959508605882354	2097889.0	11401
protocols	contains	46	IntegerIntervals-integer_interval-IntegerArray-uniformInteger	21.95789345652174	LENOVO.20ERCTO1WW	22.03776064130435	22.06198630608696	1048576	20171019-1732	6	50	0.05	6	50.742962349	22.16256856630435	2097889.0	6245
instanceof	contains	55	IntegerIntervals-integer_interval-IntegerArray-uniformInteger	18.33556863636364	LENOVO.20ERCTO1WW	18.3774761	18.381835066181818	1048576	20171019-1736	6	50	0.05	6	50.549941043	18.426617363636367	2066682.0	7573
instancefn	contains	49	IntegerIntervals-integer_interval-IntegerArray-uniformInteger	20.588072020408163	LENOVO.20ERCTO1WW	20.683180795918368	20.654743191428572	1048576	20171019-1740	6	50	0.05	6	50.603942131	20.70544736428571	2097889.0	7034
defmulti	contains	2	IntegerIntervals-integer_interval-IntegerArray-uniformInteger	551.1704435	LENOVO.20ERCTO1WW	557.4961405	562.2003075	1048576	20171019-1745	6	50	0.05	6	56.219729528	569.440379975	2097889.0	277
hashmaps	contains	12	IntegerIntervals-integer_interval-IntegerArray-uniformInteger	88.68817275000002	LENOVO.20ERCTO1WW	92.48018725	91.15290712500001	1048576	20171019-1751	6	50	0.05	6	54.68999422	93.72402366666668	2097889.0	2097
signatures	contains	13	IntegerIntervals-integer_interval-IntegerArray-uniformInteger	78.83630746153847	LENOVO.20ERCTO1WW	80.32457719230769	80.87151217230769	1048576	20171019-1757	6	50	0.05	6	52.568032041	82.04273076923077	2097889.0	2345
nohierarchy	contains	16	IntegerIntervals-integer_interval-IntegerArray-uniformInteger	64.46199675	LENOVO.20ERCTO1WW	65.51799653125	65.59847423625	1048576	20171019-1802	6	50	0.05	6	52.475322293	66.4301559375	2097889.0	2248
dynafun	contains	53	IntegerIntervals-integer_interval-IntegerArray-uniformInteger	18.91891359433962	LENOVO.20ERCTO1WW	18.98699859433962	19.014649423773587	1048576	20171019-1807	6	50	0.05	6	50.388547105	19.0818409245283	2097889.0	7260
dynamap	contains	19	IntegerIntervals-integer_interval-IntegerArray-uniformInteger	55.8394965263158	LENOVO.20ERCTO1WW	56.10089939473684	56.90824472842105	1048576	20171019-1812	6	50	0.05	6	54.0648732	58.091616684210535	2097889.0	2465
