algorithm	benchmark	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
invokeinterface	contains	40	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	25.558614625	LENOVO.20ERCTO1WW	25.608205475	25.629490494000002	1048576	20171019-1817	6	50	0.05	6	51.257696247	25.67032285	2095026.0	6229
protocols	contains	7	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	151.61724014285713	LENOVO.20ERCTO1WW	152.45215735714285	152.63197623714285	1048576	20171019-1822	6	50	0.05	6	53.42128285	153.47964244285714	2095026.0	1101
instanceof	contains	33	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	30.73495942424243	LENOVO.20ERCTO1WW	30.837913045454545	30.82412666606061	1048576	20171019-1827	6	50	0.05	6	50.859733516	30.900873169696975	2087215.0	5293
instancefn	contains	31	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	33.14152745161291	LENOVO.20ERCTO1WW	33.22734896774193	33.28723709161291	1048576	20171019-1831	6	50	0.05	6	51.594895851	33.40736768064517	2095026.0	4741
defmulti	contains	2	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	564.1783045000001	LENOVO.20ERCTO1WW	567.56510775	570.8915861	1048576	20171019-1837	6	50	0.05	6	57.089951408	578.0988215250001	2095026.0	283
hashmaps	contains	8	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	126.83023600000001	LENOVO.20ERCTO1WW	129.1221103125	130.9018505925	1048576	20171019-1842	6	50	0.05	6	52.368614966	134.67165681875002	2095026.0	1183
signatures	contains	10	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	103.44381080000001	LENOVO.20ERCTO1WW	105.82459205	105.877554138	1048576	20171019-1848	6	50	0.05	6	52.934139898	108.52232469000002	2095026.0	1501
nohierarchy	contains	11	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	89.45636045454546	LENOVO.20ERCTO1WW	90.47000027272728	91.93027410181818	1048576	20171019-1853	6	50	0.05	6	50.569363942	93.53342990909091	2095026.0	1576
dynafun	contains	21	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	49.281371619047626	LENOVO.20ERCTO1WW	50.05461580952381	49.80777885428572	1048576	20171019-1858	6	50	0.05	6	52.296268223	50.18587960714286	2095026.0	3217
dynamap	contains	13	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	78.02126492307693	LENOVO.20ERCTO1WW	78.37588065384615	79.35612764615385	1048576	20171019-1903	6	50	0.05	6	51.583406985	80.27336739999998	2095026.0	1981
