algorithm	benchmark	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
invokestatic	diameter	151	IntegerIntervals-integer_interval	6.625445697682119	LENOVO.20ERCTO1WW	6.641935768211921	6.707724004238411	1048576	20171019-2121	6	50	0.05	6	50.634283669	6.736853208609272	1200.0	21965
invokevirtual	diameter	150	IntegerIntervals-integer_interval	6.618708486666667	LENOVO.20ERCTO1WW	6.6704178	6.683057486	1048576	20171019-2125	6	50	0.05	6	50.106615705	6.821105013333333	1200.0	24802
invokeinterface	diameter	154	IntegerIntervals-integer_interval	6.489247285714287	LENOVO.20ERCTO1WW	6.520992720779221	6.505998437792208	1048576	20171019-2130	6	50	0.05	6	50.096346969	6.522531922077922	1200.0	22424
protocols	diameter	91	IntegerIntervals-integer_interval	10.949381307692308	LENOVO.20ERCTO1WW	10.990639368131868	10.998083252527474	1048576	20171019-2134	6	50	0.05	6	50.04184878	11.033724597802196	1200.0	12751
instanceof	diameter	151	IntegerIntervals-integer_interval	6.650116741721854	LENOVO.20ERCTO1WW	6.674419377483444	6.668262839602649	1048576	20171019-2138	6	50	0.05	6	50.342825171	6.6791601192052985	1200.0	20755
instancefn	diameter	149	IntegerIntervals-integer_interval	6.740024710738256	LENOVO.20ERCTO1WW	6.7591764966442955	6.75974332671141	1048576	20171019-2142	6	50	0.05	6	50.355006807	6.772614302013424	1200.0	20908
defmulti	diameter	16	IntegerIntervals-integer_interval	65.0945664375	LENOVO.20ERCTO1WW	65.7982358125	66.10222662250001	1048576	20171019-2147	6	50	0.05	6	52.877257174	67.13351187187502	1200.0	2329
hashmaps	diameter	47	IntegerIntervals-integer_interval	21.47559964787234	LENOVO.20ERCTO1WW	21.655151861702127	21.681091705106383	1048576	20171019-2152	6	50	0.05	6	50.953897155	21.83442010638298	1200.0	6813
signatures	diameter	34	IntegerIntervals-integer_interval	29.563095088235293	LENOVO.20ERCTO1WW	29.900792352941178	29.914738508235295	1048576	20171019-2158	6	50	0.05	6	50.856971084	30.262075352941174	1200.0	5051
nohierarchy	diameter	77	IntegerIntervals-integer_interval	13.094341142857143	LENOVO.20ERCTO1WW	13.147701694805194	13.152532517922078	1048576	20171019-2202	6	50	0.05	6	50.637850807	13.19108467077922	1200.0	10495
dynafun	diameter	124	IntegerIntervals-integer_interval	8.14146510483871	LENOVO.20ERCTO1WW	8.153483112903226	8.15311985370968	1048576	20171019-2206	6	50	0.05	6	50.549332148	8.168071182258066	1200.0	17308
dynamap	diameter	80	IntegerIntervals-integer_interval	12.451038675	LENOVO.20ERCTO1WW	12.50876856875	12.510152957250002	1048576	20171019-2210	6	50	0.05	6	50.04001267	12.559471695625	1200.0	11439
