algorithm	benchmark	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
invokeinterface	diameter	109	Sets-IntervalOf2	9.234316972477066	LENOVO.20ERCTO1WW	9.24668404587156	9.247338112844037	1048576	20171019-2215	6	50	0.05	6	50.397628772	9.261559329816516	1200.0	13135
protocols	diameter	7	Sets-IntervalOf2	147.92295342857142	LENOVO.20ERCTO1WW	149.43561414285713	149.2108780885714	1048576	20171019-2219	6	50	0.05	6	52.220371385	150.26839807857144	1200.0	991
instanceof	diameter	87	Sets-IntervalOf2	11.538118068965517	LENOVO.20ERCTO1WW	11.558231637931035	11.557523508045978	1048576	20171019-2224	6	50	0.05	6	50.274867326	11.572921229885058	1200.0	14023
instancefn	diameter	81	Sets-IntervalOf2	12.424646679012348	LENOVO.20ERCTO1WW	12.441651216049383	12.457568939506174	1048576	20171019-2228	6	50	0.05	6	50.45304772	12.494817735802469	1200.0	12991
defmulti	diameter	14	Sets-IntervalOf2	73.92391114285714	LENOVO.20ERCTO1WW	74.37124678571429	74.62482482571428	1048576	20171019-2233	6	50	0.05	6	52.238970999	75.26658242857143	1200.0	1861
hashmaps	diameter	25	Sets-IntervalOf2	41.5271514	LENOVO.20ERCTO1WW	41.84053622	41.9104328064	1048576	20171019-2239	6	50	0.05	6	52.3871224	42.234571936	1200.0	3591
signatures	diameter	24	Sets-IntervalOf2	42.03866933333334	LENOVO.20ERCTO1WW	42.15250789583333	42.59149676833334	1048576	20171019-2245	6	50	0.05	6	51.108353116	42.91484016666667	1200.0	3111
nohierarchy	diameter	33	Sets-IntervalOf2	30.74259545454546	LENOVO.20ERCTO1WW	30.821574636363636	30.920266222424246	1048576	20171019-2249	6	50	0.05	6	51.019042068	31.030589880303033	1200.0	5515
dynafun	diameter	48	Sets-IntervalOf2	20.988663336458337	LENOVO.20ERCTO1WW	21.06365325	21.059465902500005	1048576	20171019-2254	6	50	0.05	6	50.542660911	21.119558654166667	1200.0	7795
dynamap	diameter	35	Sets-IntervalOf2	28.78087728571429	LENOVO.20ERCTO1WW	28.864512285714287	28.891361535428572	1048576	20171019-2258	6	50	0.05	6	50.559966929	28.96050442857143	1200.0	5335
