algorithm	benchmark	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
invokestatic	intersects	73	IntegerIntervals-integer_interval-IntegerIntervals-integer_interval	13.802413232876713	LENOVO.20ERCTO1WW	13.816235794520548	13.827074259726029	1048576	20171020-0046	6	50	0.05	6	50.469274705	13.848117150684933	4173887.0	9065
invokevirtual	intersects	73	IntegerIntervals-integer_interval-IntegerIntervals-integer_interval	13.792696945205481	LENOVO.20ERCTO1WW	13.798431801369864	13.817146884931509	1048576	20171020-0051	6	50	0.05	6	50.433239982	13.835633369863015	4173887.0	10088
invokeinterface	intersects	73	IntegerIntervals-integer_interval-IntegerIntervals-integer_interval	13.862140804109591	LENOVO.20ERCTO1WW	13.885398657534246	13.881986716712332	1048576	20171020-0056	6	50	0.05	6	50.669502777	13.900402919863016	4173887.0	10777
protocols	intersects	57	IntegerIntervals-integer_interval-IntegerIntervals-integer_interval	17.602380609649124	LENOVO.20ERCTO1WW	17.674003842105265	17.683496068421054	1048576	20171020-0100	6	50	0.05	6	50.397796771	17.74939087631579	4173887.0	8042
instanceof	intersects	73	IntegerIntervals-integer_interval-IntegerIntervals-integer_interval	13.84285488082192	LENOVO.20ERCTO1WW	13.852238452054795	13.863792966027399	1048576	20171020-0105	6	50	0.05	6	50.602897571	13.886850093150688	4173887.0	10501
instancefn	intersects	62	IntegerIntervals-integer_interval-IntegerIntervals-integer_interval	16.19527633870968	LENOVO.20ERCTO1WW	16.24293076612903	16.234964681612905	1048576	20171020-0110	6	50	0.05	6	50.327694713	16.263587693548388	4173887.0	8597
defmulti	intersects	2	IntegerIntervals-integer_interval-IntegerIntervals-integer_interval	578.0626555	LENOVO.20ERCTO1WW	582.7558055	583.1588194000001	1048576	20171020-0115	6	50	0.05	6	58.315762691	589.9996560000001	4173887.0	277
hashmaps	intersects	14	IntegerIntervals-integer_interval-IntegerIntervals-integer_interval	77.746302	LENOVO.20ERCTO1WW	79.74552667857142	79.17818462857143	1048576	20171020-0121	6	50	0.05	6	55.423650176	80.90001145	4173887.0	2161
signatures	intersects	14	IntegerIntervals-integer_interval-IntegerIntervals-integer_interval	73.17503057142858	LENOVO.20ERCTO1WW	75.38659867857143	74.85333423571427	1048576	20171020-0127	6	50	0.05	6	52.400705358	76.89929455357144	4173887.0	2297
nohierarchy	intersects	16	IntegerIntervals-integer_interval-IntegerIntervals-integer_interval	62.76732697187499	LENOVO.20ERCTO1WW	64.27004234375	63.820920135	1048576	20171020-0133	6	50	0.05	6	51.057421693	64.601433703125	4173887.0	2304
dynafun	intersects	60	IntegerIntervals-integer_interval-IntegerIntervals-integer_interval	16.7911754	LENOVO.20ERCTO1WW	16.856448691666667	16.847193431	1048576	20171020-0137	6	50	0.05	6	50.541317002	16.88479102166667	4173887.0	8304
dynamap	intersects	24	IntegerIntervals-integer_interval-IntegerIntervals-integer_interval	42.261529708333335	LENOVO.20ERCTO1WW	43.110152541666665	43.02504047416667	1048576	20171020-0143	6	50	0.05	6	51.62930646	43.671680281250005	4173887.0	3439
