algorithm	benchmark	containers	elements	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
invokevirtual	axpy	d22s-d2s-d2s	d22-d2-d2	32	d22s-d22-d2s-d2-d2s-d2	31.48289309375	LENOVO.20ERCTO1WW	31.72866309375	31.640524218750002	1048576	20210130-1126	6	50	0.05	6	50.62478025	31.817522468750006	214086.32199250092	10396
invokeinterface	axpy	d22s-d2s-d2s	d22-d2-d2	22	d22s-d22-d2s-d2-d2s-d2	46.54163227272727	LENOVO.20ERCTO1WW	46.94196863636363	46.91222290909091	1048576	20210130-1130	6	50	0.05	6	51.600076	47.12858863636364	214086.32199250092	3193
protocols	axpy	d22s-d2s-d2s	d22-d2-d2	22	d22s-d22-d2s-d2-d2s-d2	46.921519545454544	LENOVO.20ERCTO1WW	47.161075454545454	47.235557	1048576	20210130-1134	6	50	0.05	6	51.9584749	47.469970227272725	214086.32199250092	3081
instanceof	axpy	d22s-d2s-d2s	d22-d2-d2	33	d22s-d22-d2s-d2-d2s-d2	31.438447424242426	LENOVO.20ERCTO1WW	31.50961712121212	31.80015354545455	1048576	20210130-1138	6	50	0.05	6	52.46770465	32.82826454545455	214086.32199250092	5041
instancefn	axpy	d22s-d2s-d2s	d22-d2-d2	32	d22s-d22-d2s-d2-d2s-d2	31.463574031250005	LENOVO.20ERCTO1WW	31.59978184375	31.687256343750004	1048576	20210130-1141	6	50	0.05	6	50.69900435	31.876749031250004	214086.32199250092	4551
defmulti	axpy	d22s-d2s-d2s	d22-d2-d2	3	d22s-d22-d2s-d2-d2s-d2	387.0547293333334	LENOVO.20ERCTO1WW	392.87397933333335	392.3726986666667	1048576	20210130-1145	6	50	0.05	6	58.8538553	400.16346100000004	214086.32199250092	391
hashmaps	axpy	d22s-d2s-d2s	d22-d2-d2	9	d22s-d22-d2s-d2-d2s-d2	122.32254044444444	LENOVO.20ERCTO1WW	126.951096	125.31380911111111	1048576	20210130-1150	6	50	0.05	6	56.3963754	128.7911748888889	214086.32199250092	1675
signatures	axpy	d22s-d2s-d2s	d22-d2-d2	13	d22s-d22-d2s-d2-d2s-d2	77.44324976923077	LENOVO.20ERCTO1WW	78.27119207692307	79.06417776923078	1048576	20210130-1154	6	50	0.05	6	51.37891455	80.70337323076923	214086.32199250092	2225
nohierarchy	axpy	d22s-d2s-d2s	d22-d2-d2	16	d22s-d22-d2s-d2-d2s-d2	62.64533968750001	LENOVO.20ERCTO1WW	63.8029021875	63.66691906250001	1048576	20210130-1158	6	50	0.05	6	50.93696265	64.94541437500001	214086.32199250092	2369
dynafun	axpy	d22s-d2s-d2s	d22-d2-d2	31	d22s-d22-d2s-d2-d2s-d2	32.356424967741944	LENOVO.20ERCTO1WW	32.4724604516129	32.5344286451613	1048576	20210130-1201	6	50	0.05	6	50.4266047	32.67726996774194	214086.32199250092	4445
dynamap	axpy	d22s-d2s-d2s	d22-d2-d2	16	d22s-d22-d2s-d2-d2s-d2	63.53393343750001	LENOVO.20ERCTO1WW	64.5787678125	64.8342831875	1048576	20210130-1205	6	50	0.05	6	51.86542245	66.5116459375	214086.32199250092	2281
