algorithm	benchmark	containers	elements	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
invokestatic	contains	IntegerIntervals-IntegerArray	integer_interval-uniformInteger	82	IntegerIntervals-integer_interval-IntegerArray-uniformInteger	11.911489817073171	LENOVO.20ERCTO1WW	12.116429451219512	11.939354134146342	1048576	20210130-1334	6	50	0.05	6	48.94863405	11.972609329268293	2064270.0	11311
invokevirtual	contains	IntegerIntervals-IntegerArray	integer_interval-uniformInteger	85	IntegerIntervals-integer_interval-IntegerArray-uniformInteger	11.839499435294119	LENOVO.20ERCTO1WW	11.857200023529412	11.869670564705883	1048576	20210130-1337	6	50	0.05	6	50.4427419	11.88106125882353	2095559.0	12447
invokeinterface	contains	IntegerIntervals-IntegerArray	integer_interval-uniformInteger	85	IntegerIntervals-integer_interval-IntegerArray-uniformInteger	11.81864414117647	LENOVO.20ERCTO1WW	11.836887082352941	11.850588729411767	1048576	20210130-1341	6	50	0.05	6	50.3635238	11.86987325882353	2095559.0	11986
protocols	contains	IntegerIntervals-IntegerArray	integer_interval-uniformInteger	44	IntegerIntervals-integer_interval-IntegerArray-uniformInteger	22.50754818181818	LENOVO.20ERCTO1WW	22.759572045454547	22.68717231818182	1048576	20210130-1345	6	50	0.05	6	49.9123863	22.858463295454545	2095559.0	6308
instanceof	contains	IntegerIntervals-IntegerArray	integer_interval-uniformInteger	50	IntegerIntervals-integer_interval-IntegerArray-uniformInteger	20.058573920000004	LENOVO.20ERCTO1WW	20.11812092	20.15476908	1048576	20210130-1348	6	50	0.05	6	50.3837795	20.28914002	2064270.0	6865
instancefn	contains	IntegerIntervals-IntegerArray	integer_interval-uniformInteger	46	IntegerIntervals-integer_interval-IntegerArray-uniformInteger	21.899624173913047	LENOVO.20ERCTO1WW	21.98140460869565	22.042213695652176	1048576	20210130-1352	6	50	0.05	6	50.69276	22.187289826086957	2095559.0	6618
defmulti	contains	IntegerIntervals-IntegerArray	integer_interval-uniformInteger	2	IntegerIntervals-integer_interval-IntegerArray-uniformInteger	566.8203460000001	LENOVO.20ERCTO1WW	574.452996	574.630169	1048576	20210130-1356	6	50	0.05	6	57.4627715	579.9868885	2095559.0	277
hashmaps	contains	IntegerIntervals-IntegerArray	integer_interval-uniformInteger	13	IntegerIntervals-integer_interval-IntegerArray-uniformInteger	82.4380113076923	LENOVO.20ERCTO1WW	83.71632669230769	84.04211053846154	1048576	20210130-1400	6	50	0.05	6	54.62590165	85.59766361538462	2095559.0	2041
signatures	contains	IntegerIntervals-IntegerArray	integer_interval-uniformInteger	16	IntegerIntervals-integer_interval-IntegerArray-uniformInteger	64.70466031250001	LENOVO.20ERCTO1WW	65.9301521875	65.9633439375	1048576	20210130-1403	6	50	0.05	6	52.77513935	67.13041468750001	2095559.0	2113
nohierarchy	contains	IntegerIntervals-IntegerArray	integer_interval-uniformInteger	17	IntegerIntervals-integer_interval-IntegerArray-uniformInteger	59.22124888235294	LENOVO.20ERCTO1WW	59.44128711764706	60.450359117647054	1048576	20210130-1407	6	50	0.05	6	51.37605155	61.43587829411764	2095559.0	2393
dynafun	contains	IntegerIntervals-IntegerArray	integer_interval-uniformInteger	48	IntegerIntervals-integer_interval-IntegerArray-uniformInteger	20.9792105	LENOVO.20ERCTO1WW	21.454508416666666	21.125517208333335	1048576	20210130-1410	6	50	0.05	6	50.6988915	21.294715812500005	2095559.0	6496
dynamap	contains	IntegerIntervals-IntegerArray	integer_interval-uniformInteger	18	IntegerIntervals-integer_interval-IntegerArray-uniformInteger	57.119045944444444	LENOVO.20ERCTO1WW	58.62816538888889	58.2137745	1048576	20210130-1414	6	50	0.05	6	52.39077515	59.25621900000001	2095559.0	2409
