algorithm	benchmark	containers	elements	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
invokeinterface	contains	Sets-NumberArray	IntervalOf2-uniformDoubleOrInteger	36	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	27.51624313888889	LENOVO.20ERCTO1WW	27.604947305555555	27.610732527777778	1048576	20210130-1418	6	50	0.05	6	49.69552995	27.659702722222224	2097533.0	5857
protocols	contains	Sets-NumberArray	IntervalOf2-uniformDoubleOrInteger	7	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	158.52032457142857	LENOVO.20ERCTO1WW	159.0528317142857	159.0688974285714	1048576	20210130-1422	6	50	0.05	6	55.6734905	159.68096742857145	2097533.0	861
instanceof	contains	Sets-NumberArray	IntervalOf2-uniformDoubleOrInteger	30	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	34.2845926	LENOVO.20ERCTO1WW	34.42869926666667	34.48286993333333	1048576	20210130-1425	6	50	0.05	6	51.7199043	34.7162821	2089913.0	4001
instancefn	contains	Sets-NumberArray	IntervalOf2-uniformDoubleOrInteger	27	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	37.327507037037044	LENOVO.20ERCTO1WW	37.70488296296296	37.56092088888889	1048576	20210130-1429	6	50	0.05	6	50.7056423	37.7916662962963	2097533.0	3721
defmulti	contains	Sets-NumberArray	IntervalOf2-uniformDoubleOrInteger	2	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	602.746796	LENOVO.20ERCTO1WW	608.325346	607.50512	1048576	20210130-1432	6	50	0.05	6	60.7510825	612.968846	2097533.0	226
hashmaps	contains	Sets-NumberArray	IntervalOf2-uniformDoubleOrInteger	9	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	116.21319600000001	LENOVO.20ERCTO1WW	116.13063488888889	118.58759577777779	1048576	20210130-1436	6	50	0.05	6	53.360305	121.15742322222222	2097533.0	1181
signatures	contains	Sets-NumberArray	IntervalOf2-uniformDoubleOrInteger	10	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	102.13354050000001	LENOVO.20ERCTO1WW	103.317841	103.5401994	1048576	20210130-1440	6	50	0.05	6	51.7724413	104.98969600000001	2097533.0	1507
nohierarchy	contains	Sets-NumberArray	IntervalOf2-uniformDoubleOrInteger	11	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	91.60462318181818	LENOVO.20ERCTO1WW	93.10364136363637	93.13023663636363	1048576	20210130-1444	6	50	0.05	6	51.21558725	94.40631863636364	2097533.0	1693
dynafun	contains	Sets-NumberArray	IntervalOf2-uniformDoubleOrInteger	16	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	64.7969896875	LENOVO.20ERCTO1WW	65.3930146875	65.83213656250001	1048576	20210130-1448	6	50	0.05	6	52.66799285	66.7374275	2097533.0	2467
dynamap	contains	Sets-NumberArray	IntervalOf2-uniformDoubleOrInteger	12	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	88.80418758333334	LENOVO.20ERCTO1WW	89.61942925	89.92828141666668	1048576	20210130-1451	6	50	0.05	6	53.95630775	91.07704591666668	2097533.0	1611
