algorithm	benchmark	containers	elements	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
invokestatic	diameter	IntegerIntervals	integer_interval	126	IntegerIntervals-integer_interval	6.735247500000001	LENOVO.20ERCTO1WW	6.761622103174603	6.785660404761905	1048576	20210130-1605	6	50	0.05	6	42.74608685	6.89673011904762	1200.0	18259
invokevirtual	diameter	IntegerIntervals	integer_interval	149	IntegerIntervals-integer_interval	6.741240973154364	LENOVO.20ERCTO1WW	6.759088859060403	6.762769275167786	1048576	20210130-1609	6	50	0.05	6	50.3778782	6.776245436241612	1200.0	20581
invokeinterface	diameter	IntegerIntervals	integer_interval	145	IntegerIntervals-integer_interval	6.864654531034483	LENOVO.20ERCTO1WW	6.885134186206897	6.9079989586206905	1048576	20210130-1612	6	50	0.05	6	50.08028365	6.949079531034483	1200.0	20977
protocols	diameter	IntegerIntervals	integer_interval	83	IntegerIntervals-integer_interval	12.128264590361447	LENOVO.20ERCTO1WW	12.224962783132531	12.190101722891566	1048576	20210130-1616	6	50	0.05	6	50.58399795	12.279335915662651	1200.0	11488
instanceof	diameter	IntegerIntervals	integer_interval	140	IntegerIntervals-integer_interval	7.19232805	LENOVO.20ERCTO1WW	7.227769835714286	7.231932735714286	1048576	20210130-1619	6	50	0.05	6	50.61613325	7.26043305	1200.0	19621
instancefn	diameter	IntegerIntervals	integer_interval	136	IntegerIntervals-integer_interval	7.390260617647058	LENOVO.20ERCTO1WW	7.412222014705883	7.427974985294117	1048576	20210130-1623	6	50	0.05	6	50.5047295	7.450899588235294	1200.0	18841
defmulti	diameter	IntegerIntervals	integer_interval	13	IntegerIntervals-integer_interval	81.78466130769232	LENOVO.20ERCTO1WW	82.37678053846153	82.82858207692308	1048576	20210130-1627	6	50	0.05	6	53.84469105	83.50862053846154	1200.0	1929
hashmaps	diameter	IntegerIntervals	integer_interval	33	IntegerIntervals-integer_interval	30.56376560606061	LENOVO.20ERCTO1WW	31.48208378787879	31.230772515151518	1048576	20210130-1630	6	50	0.05	6	51.52898265	31.768131818181825	1200.0	4582
signatures	diameter	IntegerIntervals	integer_interval	37	IntegerIntervals-integer_interval	27.12531483783784	LENOVO.20ERCTO1WW	27.65305537837838	27.582807432432435	1048576	20210130-1634	6	50	0.05	6	51.02567535	28.09868794594595	1200.0	4971
nohierarchy	diameter	IntegerIntervals	integer_interval	58	IntegerIntervals-integer_interval	17.329194189655173	LENOVO.20ERCTO1WW	17.57642953448276	17.525890948275862	1048576	20210130-1637	6	50	0.05	6	50.82339535	17.67438556896552	1200.0	8025
dynafun	diameter	IntegerIntervals	integer_interval	102	IntegerIntervals-integer_interval	9.830093950980393	LENOVO.20ERCTO1WW	9.841154735294118	9.876904382352942	1048576	20210130-1641	6	50	0.05	6	50.37045545	9.905418264705883	1200.0	14233
dynamap	diameter	IntegerIntervals	integer_interval	61	IntegerIntervals-integer_interval	16.52958280327869	LENOVO.20ERCTO1WW	16.664995098360656	16.666855885245905	1048576	20210130-1644	6	50	0.05	6	50.83268535	16.783727065573775	1200.0	8637
