algorithm	benchmark	containers	elements	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
invokeinterface	diameter	Sets	IntervalOf2	91	Sets-IntervalOf2	10.049033274725275	LENOVO.20ERCTO1WW	10.082479428571428	10.091681252747254	1048576	20210130-1648	6	50	0.05	6	45.9119624	10.13417953846154	1200.0	13219
protocols	diameter	Sets	IntervalOf2	8	Sets-IntervalOf2	142.8484085	LENOVO.20ERCTO1WW	144.3300835	143.67221874999998	1048576	20210130-1652	6	50	0.05	6	57.4693467	144.457161	1200.0	991
instanceof	diameter	Sets	IntervalOf2	75	Sets-IntervalOf2	13.39166924	LENOVO.20ERCTO1WW	13.441346573333334	13.444597400000001	1048576	20210130-1655	6	50	0.05	6	50.40982015	13.49919324	1200.0	12223
instancefn	diameter	Sets	IntervalOf2	71	Sets-IntervalOf2	14.110174788732396	LENOVO.20ERCTO1WW	14.146590281690141	14.151612676056338	1048576	20210130-1659	6	50	0.05	6	50.236911	14.182686408450705	1200.0	11617
defmulti	diameter	Sets	IntervalOf2	11	Sets-IntervalOf2	96.37236863636365	LENOVO.20ERCTO1WW	97.51532772727273	97.573091	1048576	20210130-1703	6	50	0.05	6	53.66685805	98.76900818181818	1200.0	1687
hashmaps	diameter	Sets	IntervalOf2	24	Sets-IntervalOf2	42.90342925000001	LENOVO.20ERCTO1WW	43.48785216666667	43.24988391666667	1048576	20210130-1707	6	50	0.05	6	51.8997649	43.67609862500001	1200.0	3805
signatures	diameter	Sets	IntervalOf2	23	Sets-IntervalOf2	43.95620460869566	LENOVO.20ERCTO1WW	44.45598286956522	44.51289695652175	1048576	20210130-1711	6	50	0.05	6	51.1905119	44.945223956521744	1200.0	3727
nohierarchy	diameter	Sets	IntervalOf2	27	Sets-IntervalOf2	36.446707037037044	LENOVO.20ERCTO1WW	36.73823851851852	36.79468362962964	1048576	20210130-1715	6	50	0.05	6	49.6715633	37.0861625925926	1200.0	4345
dynafun	diameter	Sets	IntervalOf2	37	Sets-IntervalOf2	27.584668891891894	LENOVO.20ERCTO1WW	27.77835672972973	27.833877810810815	1048576	20210130-1718	6	50	0.05	6	51.49137555	28.11277240540541	1200.0	5061
dynamap	diameter	Sets	IntervalOf2	31	Sets-IntervalOf2	34.01207851612904	LENOVO.20ERCTO1WW	34.237754	34.30135341935484	1048576	20210130-1722	6	50	0.05	6	53.1657063	34.6764975483871	1200.0	4843
