algorithm	benchmark	containers	elements	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
invokestatic	intersects	IntegerIntervals-IntegerIntervals	integer_interval-integer_interval	59	IntegerIntervals-integer_interval-IntegerIntervals-integer_interval	14.412521338983051	LENOVO.20ERCTO1WW	14.660250152542373	14.632315983050848	1048576	20210130-1835	6	50	0.05	6	43.16304975	14.768497949152543	4172898.0	8261
invokevirtual	intersects	IntegerIntervals-IntegerIntervals	integer_interval-integer_interval	70	IntegerIntervals-integer_interval-IntegerIntervals-integer_interval	14.51477162857143	LENOVO.20ERCTO1WW	14.5733602	14.599826457142859	1048576	20210130-1839	6	50	0.05	6	51.0980555	14.6886502	4172898.0	10050
invokeinterface	intersects	IntegerIntervals-IntegerIntervals	integer_interval-integer_interval	70	IntegerIntervals-integer_interval-IntegerIntervals-integer_interval	14.284815914285716	LENOVO.20ERCTO1WW	14.2906152	14.317907400000001	1048576	20210130-1843	6	50	0.05	6	50.1112011	14.341771128571429	4172898.0	10369
protocols	intersects	IntegerIntervals-IntegerIntervals	integer_interval-integer_interval	52	IntegerIntervals-integer_interval-IntegerIntervals-integer_interval	19.33213630769231	LENOVO.20ERCTO1WW	19.40830073076923	19.46911673076923	1048576	20210130-1846	6	50	0.05	6	50.6163136	19.565816596153844	4172898.0	7294
instanceof	intersects	IntegerIntervals-IntegerIntervals	integer_interval-integer_interval	70	IntegerIntervals-integer_interval-IntegerIntervals-integer_interval	14.265053057142858	LENOVO.20ERCTO1WW	14.2892352	14.297818771428572	1048576	20210130-1850	6	50	0.05	6	50.039235	14.330333200000002	4172898.0	10053
instancefn	intersects	IntegerIntervals-IntegerIntervals	integer_interval-integer_interval	54	IntegerIntervals-integer_interval-IntegerIntervals-integer_interval	18.57089035185185	LENOVO.20ERCTO1WW	18.58769035185185	18.678386351851856	1048576	20210130-1853	6	50	0.05	6	50.42915155	18.742353314814817	4172898.0	7379
defmulti	intersects	IntegerIntervals-IntegerIntervals	integer_interval-integer_interval	2	IntegerIntervals-integer_interval-IntegerIntervals-integer_interval	571.300646	LENOVO.20ERCTO1WW	578.205771	577.5844410000001	1048576	20210130-1857	6	50	0.05	6	57.756856	583.686571	4172898.0	277
hashmaps	intersects	IntegerIntervals-IntegerIntervals	integer_interval-integer_interval	11	IntegerIntervals-integer_interval-IntegerIntervals-integer_interval	93.43134136363636	LENOVO.20ERCTO1WW	94.17283227272728	95.84002154545453	1048576	20210130-1901	6	50	0.05	6	52.70871165	98.73029136363637	4172898.0	1873
signatures	intersects	IntegerIntervals-IntegerIntervals	integer_interval-integer_interval	14	IntegerIntervals-integer_interval-IntegerIntervals-integer_interval	70.48703164285715	LENOVO.20ERCTO1WW	71.98695307142857	72.23494521428572	1048576	20210130-1905	6	50	0.05	6	50.56086685	74.90686164285715	4172898.0	2353
nohierarchy	intersects	IntegerIntervals-IntegerIntervals	integer_interval-integer_interval	19	IntegerIntervals-integer_interval-IntegerIntervals-integer_interval	52.487717	LENOVO.20ERCTO1WW	53.018509105263156	53.5178282631579	1048576	20210130-1909	6	50	0.05	6	50.84445895	54.694134631578954	4172898.0	2863
dynafun	intersects	IntegerIntervals-IntegerIntervals	integer_interval-integer_interval	35	IntegerIntervals-integer_interval-IntegerIntervals-integer_interval	28.744155914285717	LENOVO.20ERCTO1WW	29.413377342857142	29.1921958	1048576	20210130-1913	6	50	0.05	6	51.08768175	29.4982502	4172898.0	4967
dynamap	intersects	IntegerIntervals-IntegerIntervals	integer_interval-integer_interval	20	IntegerIntervals-integer_interval-IntegerIntervals-integer_interval	50.929835950000005	LENOVO.20ERCTO1WW	50.65053095	51.64442355	1048576	20210130-1916	6	50	0.05	6	51.64383585	52.725095950000004	4172898.0	2689
