algorithm	benchmark	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
invokevirtual	axpy	30	d22s-d22-d2s-d2-d2s-d2	33.0700347	LENOVO.20ERCTO1WW	33.36059623333333	33.267545476171875	1048576	20170918-2300	6	256	0.05	6	255.485377918	33.450621633333334	214086.32199250092	625
invokeinterface	axpy	21	d22s-d22-d2s-d2-d2s-d2	47.934399761904764	LENOVO.20ERCTO1WW	48.31649788095238	48.249173614211315	1048576	20170918-2309	6	256	0.05	6	259.388129163	48.47790865476191	214086.32199250092	225
protocols	axpy	20	d22s-d22-d2s-d2-d2s-d2	50.31357905	LENOVO.20ERCTO1WW	50.54603925	50.69108358144531	1048576	20170918-2318	6	256	0.05	6	259.545523945	51.031837100000004	214086.32199250092	199
instanceof	axpy	30	d22s-d22-d2s-d2-d2s-d2	33.37275196666667	LENOVO.20ERCTO1WW	33.77243858333333	33.5377440890625	1048576	20170918-2327	6	256	0.05	6	257.56839367	33.679936500000004	214086.32199250092	298
instancefn	axpy	30	d22s-d22-d2s-d2-d2s-d2	33.710644933333334	LENOVO.20ERCTO1WW	33.8439204	33.91838144440104	1048576	20170918-2336	6	256	0.05	6	260.492192535	34.09102216666667	214086.32199250092	311
defmulti	axpy	3	d22s-d22-d2s-d2-d2s-d2	351.5962276666667	LENOVO.20ERCTO1WW	361.589214	358.0730135729167	1048576	20170918-2345	6	256	0.05	6	274.996381027	366.0515843333334	214086.32199250092	31
hashmaps	axpy	11	d22s-d22-d2s-d2-d2s-d2	97.31995654545454	LENOVO.20ERCTO1WW	100.45030131818181	99.81716279048295	1048576	20170918-2354	6	256	0.05	6	281.060717799	102.45699197727274	214086.32199250092	113
signatures	axpy	14	d22s-d22-d2s-d2-d2s-d2	73.68148678571428	LENOVO.20ERCTO1WW	75.05510214285714	75.50018817215403	1048576	20170919-0003	6	256	0.05	6	270.60490114	77.07656392857143	214086.32199250092	133
nohierarchy	axpy	19	d22s-d22-d2s-d2-d2s-d2	54.01396184210527	LENOVO.20ERCTO1WW	54.92838655263158	54.95237438013981	1048576	20170919-0013	6	256	0.05	6	267.293438347	55.81372385526316	214086.32199250092	185
dynafun	axpy	27	d22s-d22-d2s-d2-d2s-d2	37.98801825925926	LENOVO.20ERCTO1WW	38.44135961111111	38.532195974247685	1048576	20170919-0022	6	256	0.05	6	266.331201105	38.977933972222225	214086.32199250092	277
dynamap	axpy	20	d22s-d22-d2s-d2-d2s-d2	51.227830100000006	LENOVO.20ERCTO1WW	52.4393253	52.00370339589844	1048576	20170919-0031	6	256	0.05	6	266.258912516	52.581515475	214086.32199250092	208
