algorithm	benchmark	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
invokeinterface	axpy	12	linearfunctions-m22-vectors-v2-vectors-v2	84.83313583333333	LENOVO.20ERCTO1WW	85.90572741666666	85.6264801796875	1048576	20170920-1647	6	256	0.05	6	263.051057599	86.39169085416667	214037.0690506851	4334
protocols	axpy	5	linearfunctions-m22-vectors-v2-vectors-v2	238.73867	LENOVO.20ERCTO1WW	240.1279975	240.09629922578128	1048576	20170920-1703	6	256	0.05	6	307.32446496	241.45606	214037.0690506851	1548
instanceof	axpy	12	linearfunctions-m22-vectors-v2-vectors-v2	88.78079408333335	LENOVO.20ERCTO1WW	88.85841608333334	89.86467432486981	1048576	20170920-1718	6	256	0.05	6	276.059850575	90.81716075000001	214037.0690506851	3613
instancefn	axpy	12	linearfunctions-m22-vectors-v2-vectors-v2	90.47713450000002	LENOVO.20ERCTO1WW	90.73053595833333	91.5531861953125	1048576	20170920-1733	6	256	0.05	6	281.244361491	92.51347068750002	214037.0690506851	3595
defmulti	axpy	2	linearfunctions-m22-vectors-v2-vectors-v2	624.301651	LENOVO.20ERCTO1WW	632.842908	630.7495454765626	1048576	20170920-1751	6	256	0.05	6	322.939302962	637.1688305	214037.07288064115	697
hashmaps	axpy	5	linearfunctions-m22-vectors-v2-vectors-v2	205.13062315	LENOVO.20ERCTO1WW	207.1228082	209.2069555921875	1048576	20170920-1806	6	256	0.05	6	267.78719986	212.79901955	214037.07288064115	1507
signatures	axpy	6	linearfunctions-m22-vectors-v2-vectors-v2	167.90375350000002	LENOVO.20ERCTO1WW	171.15915033333334	170.69286246223962	1048576	20170920-1820	6	256	0.05	6	262.166153386	173.42970475	214037.07288064115	1849
nohierarchy	axpy	7	linearfunctions-m22-vectors-v2-vectors-v2	148.12581785714286	LENOVO.20ERCTO1WW	150.57841964285714	149.67116203125	1048576	20170920-1835	6	256	0.05	6	268.218858199	150.92712428571429	214037.07288064115	2119
dynafun	axpy	7	linearfunctions-m22-vectors-v2-vectors-v2	167.05363778571427	LENOVO.20ERCTO1WW	168.59030071428572	168.57675855301338	1048576	20170920-1850	6	256	0.05	6	302.096669001	169.90967107142856	214037.07288064115	1646
dynamap	axpy	6	linearfunctions-m22-vectors-v2-vectors-v2	168.45767508333333	LENOVO.20ERCTO1WW	169.97612383333333	170.6528681998698	1048576	20170920-1904	6	256	0.05	6	262.117599862	172.76259795833334	214037.07288064115	1621
