algorithm	benchmark	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
invokestatic	contains	78	IntegerIntervals-integer_interval-IntegerArray-uniformInteger	12.943049564102564	LENOVO.20ERCTO1WW	12.975224858974359	12.96761212810497	1048576	20170920-2240	6	256	0.05	6	258.93620574	12.990285112179489	2066682.0	24151
invokevirtual	contains	79	IntegerIntervals-integer_interval-IntegerArray-uniformInteger	12.746928443037975	LENOVO.20ERCTO1WW	12.769498867088608	12.766376635433149	1048576	20170920-2252	6	256	0.05	6	258.188139745	12.786945430379747	2097889.0	22189
invokeinterface	contains	79	IntegerIntervals-integer_interval-IntegerArray-uniformInteger	12.737038446202533	LENOVO.20ERCTO1WW	12.76572520886076	12.756945507021362	1048576	20170920-2303	6	256	0.05	6	257.996291615	12.778264838607596	2097889.0	22441
protocols	contains	45	IntegerIntervals-integer_interval-IntegerArray-uniformInteger	22.331319561111115	LENOVO.20ERCTO1WW	22.423421544444444	22.431326249913194	1048576	20170920-2314	6	256	0.05	6	258.40829017	22.50417005555556	2097889.0	12421
instanceof	contains	52	IntegerIntervals-integer_interval-IntegerArray-uniformInteger	19.347174346153846	LENOVO.20ERCTO1WW	19.423688846153848	19.402792941180888	1048576	20170920-2325	6	256	0.05	6	258.290326799	19.448328754807694	2066682.0	15013
instancefn	contains	45	IntegerIntervals-integer_interval-IntegerArray-uniformInteger	22.698270800000003	LENOVO.20ERCTO1WW	22.817417266666666	22.78478559635417	1048576	20170920-2337	6	256	0.05	6	262.479962075	22.863831894444445	2097889.0	12301
defmulti	contains	3	IntegerIntervals-integer_interval-IntegerArray-uniformInteger	375.89736433333337	LENOVO.20ERCTO1WW	384.504293	384.1341146992188	1048576	20170920-2349	6	256	0.05	6	295.010280511	391.6244840833334	2097889.0	805
hashmaps	contains	13	IntegerIntervals-integer_interval-IntegerArray-uniformInteger	77.89127876923077	LENOVO.20ERCTO1WW	79.02860669230769	79.79735353125001	1048576	20170921-0001	6	256	0.05	6	265.55915792	81.73618430769231	2097889.0	3928
signatures	contains	15	IntegerIntervals-integer_interval-IntegerArray-uniformInteger	68.30399306666666	LENOVO.20ERCTO1WW	69.90276386666666	70.1307799140625	1048576	20170921-0012	6	256	0.05	6	269.318101129	71.67195808333334	2097889.0	4045
nohierarchy	contains	16	IntegerIntervals-integer_interval-IntegerArray-uniformInteger	62.798772281249995	LENOVO.20ERCTO1WW	65.08194396875	64.16733371411134	1048576	20170921-0023	6	256	0.05	6	262.840135922	65.31328281249999	2097889.0	4299
dynafun	contains	49	IntegerIntervals-integer_interval-IntegerArray-uniformInteger	20.61201623979592	LENOVO.20ERCTO1WW	20.686792612244897	20.765220186543367	1048576	20170921-0035	6	256	0.05	6	260.482558522	21.01585887755102	2097889.0	14129
dynamap	contains	36	IntegerIntervals-integer_interval-IntegerArray-uniformInteger	27.971547888888892	LENOVO.20ERCTO1WW	28.121792763888887	28.24147931434462	1048576	20170921-0046	6	256	0.05	6	260.275542883	28.475653798611116	2097889.0	10393
