algorithm	benchmark	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
invokeinterface	contains	36	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	28.401037861111114	LENOVO.20ERCTO1WW	28.49019763888889	28.471816158637157	1048576	20170919-0531	6	256	0.05	6	262.397134751	28.53146127777778	2095026.0	469
protocols	contains	7	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	153.26722471428573	LENOVO.20ERCTO1WW	154.27179192857142	154.5316443716518	1048576	20170919-0539	6	256	0.05	6	276.92504741	155.69385657142857	2095026.0	85
instanceof	contains	30	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	33.546490858333335	LENOVO.20ERCTO1WW	33.67392853333333	33.66365622447916	1048576	20170919-0547	6	256	0.05	6	258.540087458	33.768731108333334	2087215.0	337
instancefn	contains	29	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	34.976195172413796	LENOVO.20ERCTO1WW	35.1192095	35.127143327990304	1048576	20170919-0554	6	256	0.05	6	260.784510131	35.2417675862069	2095026.0	313
defmulti	contains	2	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	566.8909685	LENOVO.20ERCTO1WW	575.286904	575.5385096562501	1048576	20170919-0603	6	256	0.05	6	294.679524476	586.152033375	2095026.0	19
hashmaps	contains	9	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	110.25287344444446	LENOVO.20ERCTO1WW	114.94131988888888	114.04300717621528	1048576	20170919-0610	6	256	0.05	6	262.771874033	117.42054272222222	2095026.0	91
signatures	contains	11	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	91.82765597727273	LENOVO.20ERCTO1WW	93.97006268181818	93.23689838849432	1048576	20170919-0618	6	256	0.05	6	262.549612449	94.60116081818182	2095026.0	121
nohierarchy	contains	12	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	89.04512816666669	LENOVO.20ERCTO1WW	91.159299125	90.59836346907554	1048576	20170919-0626	6	256	0.05	6	278.324597365	91.82479514583335	2095026.0	127
dynafun	contains	19	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	53.27314500000001	LENOVO.20ERCTO1WW	53.819898736842106	53.671914833470396	1048576	20170919-0634	6	256	0.05	6	261.056133132	54.04763161842106	2095026.0	205
dynamap	contains	20	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	52.0875809	LENOVO.20ERCTO1WW	52.3164217	52.48402802871094	1048576	20170919-0642	6	256	0.05	6	268.722283771	52.827901600000004	2095026.0	191
