algorithm	benchmark	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
invokestatic	diameter	126	IntegerIntervals-integer_interval	7.931122261904762	LENOVO.20ERCTO1WW	7.9558939126984125	7.959551044828871	1048576	20170919-0913	6	256	0.05	6	256.74337952	7.986504656746033	1200.0	1559
invokevirtual	diameter	125	IntegerIntervals-integer_interval	8.041333887999999	LENOVO.20ERCTO1WW	8.069626604	8.068234604187499	1048576	20170919-0920	6	256	0.05	6	258.18251251	8.091770219999999	1200.0	1246
invokeinterface	diameter	124	IntegerIntervals-integer_interval	8.048482110887097	LENOVO.20ERCTO1WW	8.059352427419356	8.071212490265879	1048576	20170919-0926	6	256	0.05	6	256.210630327	8.09419110483871	1200.0	1321
protocols	diameter	94	IntegerIntervals-integer_interval	10.726980590425532	LENOVO.20ERCTO1WW	10.744368462765957	10.75464935538564	1048576	20170919-0933	6	256	0.05	6	258.799353315	10.781656183510638	1200.0	1054
instanceof	diameter	119	IntegerIntervals-integer_interval	8.421181882352942	LENOVO.20ERCTO1WW	8.453409390756303	8.446479895909928	1048576	20170919-0940	6	256	0.05	6	257.314655746	8.471828394957983	1200.0	1207
instancefn	diameter	111	IntegerIntervals-integer_interval	9.054593882882882	LENOVO.20ERCTO1WW	9.094351346846846	9.120807794059687	1048576	20170919-0947	6	256	0.05	6	259.168212214	9.286144193693694	1200.0	1160
defmulti	diameter	14	IntegerIntervals-integer_interval	71.42711042857142	LENOVO.20ERCTO1WW	72.33291664285714	72.13135414229912	1048576	20170919-0953	6	256	0.05	6	258.523115764	72.78888044642858	1200.0	153
hashmaps	diameter	38	IntegerIntervals-integer_interval	26.138268552631583	LENOVO.20ERCTO1WW	26.451277118421054	26.49578089175576	1048576	20170919-1000	6	256	0.05	6	257.742128898	26.939016355263163	1200.0	373
signatures	diameter	34	IntegerIntervals-integer_interval	29.433567529411764	LENOVO.20ERCTO1WW	29.710106926470587	29.780730911649815	1048576	20170919-1007	6	256	0.05	6	259.208641788	30.09372582352941	1200.0	337
nohierarchy	diameter	62	IntegerIntervals-integer_interval	16.41592085483871	LENOVO.20ERCTO1WW	16.489928693548386	16.473969878780245	1048576	20170919-1013	6	256	0.05	6	261.473709232	16.52224040322581	1200.0	641
dynafun	diameter	100	IntegerIntervals-integer_interval	10.00423142	LENOVO.20ERCTO1WW	10.01713717	10.03347974328125	1048576	20170919-1020	6	256	0.05	6	256.867458896	10.058127215	1200.0	1128
dynamap	diameter	52	IntegerIntervals-integer_interval	19.363886134615385	LENOVO.20ERCTO1WW	19.432104365384614	19.42702426479868	1048576	20170919-1027	6	256	0.05	6	258.611037629	19.482783240384617	1200.0	529
