algorithm	benchmark	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
invokeinterface	diameter	86	Sets-IntervalOf2	11.495397011627908	LENOVO.20ERCTO1WW	11.699007203488373	11.662272367414609	1048576	20170923-1559	6	256	0.05	6	256.757462922	11.763108979651163	1200.0	34177
protocols	diameter	8	Sets-IntervalOf2	142.47643378125002	LENOVO.20ERCTO1WW	143.6029411875	143.5479146464844	1048576	20170923-1611	6	256	0.05	6	293.995150466	144.60556250000002	1200.0	1931
instanceof	diameter	68	Sets-IntervalOf2	14.688327397058822	LENOVO.20ERCTO1WW	14.722670955882354	14.729133778952205	1048576	20170923-1623	6	256	0.05	6	256.404196679	14.765641974264705	1200.0	21397
instancefn	diameter	65	Sets-IntervalOf2	15.387137630769232	LENOVO.20ERCTO1WW	15.400753923076923	15.424830158473558	1048576	20170923-1635	6	256	0.05	6	256.668464909	15.462529438461539	1200.0	19567
defmulti	diameter	13	Sets-IntervalOf2	81.51477738461539	LENOVO.20ERCTO1WW	83.42173361538461	82.38352370342548	1048576	20170923-1646	6	256	0.05	6	274.171262661	83.26714053846155	1200.0	3421
hashmaps	diameter	24	Sets-IntervalOf2	41.52552079166667	LENOVO.20ERCTO1WW	42.102690895833334	42.069700705403655	1048576	20170923-1658	6	256	0.05	6	258.478416403	42.5801535	1200.0	7903
signatures	diameter	25	Sets-IntervalOf2	40.78131556	LENOVO.20ERCTO1WW	41.26484206	41.25353344046875	1048576	20170923-1710	6	256	0.05	6	264.02743754	41.66951172	1200.0	7753
nohierarchy	diameter	40	Sets-IntervalOf2	25.327026725	LENOVO.20ERCTO1WW	25.42355095	25.465552207421876	1048576	20170923-1721	6	256	0.05	6	260.764461575	25.5810279125	1200.0	10987
dynafun	diameter	34	Sets-IntervalOf2	29.8722685	LENOVO.20ERCTO1WW	29.95777880882353	29.983688239315256	1048576	20170923-1733	6	256	0.05	6	260.982351827	30.086127411764707	1200.0	10063
dynamap	diameter	34	Sets-IntervalOf2	29.59935408823529	LENOVO.20ERCTO1WW	29.88251686764706	29.762470376608455	1048576	20170923-1744	6	256	0.05	6	259.047428359	29.90275350735294	1200.0	9961
