algorithm	benchmark	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
invokestatic	intersects	15	IntegerIntervals-integer_interval-IntegerIntervals-integer_interval	68.9979388	LENOVO.20ERCTO1WW	69.28100926666667	69.62552647466667	4194304	20170901-0952	6	100	0.05	6	104.433897973	71.81860662333334	16698165	162
invokevirtual	intersects	15	IntegerIntervals-integer_interval-IntegerIntervals-integer_interval	70.4732554	LENOVO.20ERCTO1WW	70.70023936666666	71.27444274466667	4194304	20170901-0959	6	100	0.05	6	106.911855565	71.96971091000002	16698165	155
invokeinterface	intersects	14	IntegerIntervals-integer_interval-IntegerIntervals-integer_interval	68.952499	LENOVO.20ERCTO1WW	70.12580475	70.80593530785714	4194304	20170901-1006	6	100	0.05	6	99.126347137	72.80330788214285	16698165	139
instanceof	intersects	14	IntegerIntervals-integer_interval-IntegerIntervals-integer_interval	71.17376757142857	LENOVO.20ERCTO1WW	71.52658767857143	71.73881681642857	4194304	20170901-1013	6	100	0.05	6	100.433428581	72.4099246	16698165	141
defmulti	intersects	1	IntegerIntervals-integer_interval-IntegerIntervals-integer_interval	2323.2810896499996	LENOVO.20ERCTO1WW	2327.9034885	2339.46630434	4194304	20170901-1021	6	100	0.05	6	233.944078826	2357.7686580000004	16698165	5
hashmaps	intersects	4	IntegerIntervals-integer_interval-IntegerIntervals-integer_interval	327.80019475	LENOVO.20ERCTO1WW	336.68934575	339.2641144525	4194304	20170901-1029	6	100	0.05	6	135.699242512	349.50541606250005	16698165	31
nonvolatile	intersects	3	IntegerIntervals-integer_interval-IntegerIntervals-integer_interval	340.7228782	LENOVO.20ERCTO1WW	349.4289763333333	349.9158131766667	4194304	20170901-1036	6	100	0.05	6	104.978476367	361.4285050000001	16698165	31
signatures	intersects	5	IntegerIntervals-integer_interval-IntegerIntervals-integer_interval	240.59250200000002	LENOVO.20ERCTO1WW	244.6033457	245.79620652600005	4194304	20170901-1043	6	100	0.05	6	122.889365001	252.18826968000002	16698165	43
nohierarchy	intersects	7	IntegerIntervals-integer_interval-IntegerIntervals-integer_interval	163.54992657142856	LENOVO.20ERCTO1WW	167.4076342857143	167.5443815485714	4194304	20170901-1050	6	100	0.05	6	117.279443563	171.10467797142857	16698165	64
dynafun	intersects	6	IntegerIntervals-integer_interval-IntegerIntervals-integer_interval	170.5775881666667	LENOVO.20ERCTO1WW	175.10468591666665	174.23143035500001	4194304	20170901-1057	6	100	0.05	6	104.533597458	178.68980567500003	16698165	64
dynarity	intersects	6	IntegerIntervals-integer_interval-IntegerIntervals-integer_interval	170.34949790000002	LENOVO.20ERCTO1WW	174.18170125	174.36930247333333	4194304	20170901-1104	6	100	0.05	6	104.621009681	178.30365762500003	16698165	64
